product_id,product_name,data_price,image_link,description,href,category
s99575659,FINNALA,2999.00,https://www.ikea.com/us/en/images/products/finnala-corner-sectional-5-seat-w-chaise-tallmyra-black-gray__0570227_pe666185_s5.jpg?f=xxs,"Corner sectional, 5-seat w chaise",https://www.ikea.com/us/en/p/finnala-corner-sectional-5-seat-w-chaise-tallmyra-black-gray-s99575659/,sofas-sectionals-fu003
s79443486,ESSEBODA,1099.00,https://www.ikea.com/us/en/images/products/esseboda-loveseat-knaebaeck-light-beige-brown__1109355_pe869968_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/esseboda-loveseat-knaebaeck-light-beige-brown-s79443486/,sofas-sectionals-fu003
s49319025,FINNALA,1499.00,https://www.ikea.com/us/en/images/products/finnala-loveseat-grann-bomstad-golden-brown__0817323_pe773958_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/finnala-loveseat-grann-bomstad-golden-brown-s49319025/,sofas-sectionals-fu003
s49575727,FINNALA,1634.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-orrsta-black-blue__0579303_pe675185_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-orrsta-black-blue-s49575727/,sofas-sectionals-fu003
s29452082,SÖDERHAMN,1438.00,https://www.ikea.com/us/en/images/products/soederhamn-sectional-5-seat-tonerud-gray__1057827_pe849007_s5.jpg?f=xxs,"Sectional, 5-seat",https://www.ikea.com/us/en/p/soederhamn-sectional-5-seat-tonerud-gray-s29452082/,sofas-sectionals-fu003
s09319094,FINNALA,1363.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-open-end-tallmyra-black-gray__0570234_pe666186_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-open-end-tallmyra-black-gray-s09319094/,sofas-sectionals-fu003
s59442379,MORABO,2549.00,https://www.ikea.com/us/en/images/products/morabo-5-seat-sofa-with-chaises-grann-bomstad-black-wood__0320807_pe514847_s5.jpg?f=xxs,5-seat sofa with chaises,https://www.ikea.com/us/en/p/morabo-5-seat-sofa-with-chaises-grann-bomstad-black-wood-s59442379/,sofas-sectionals-fu003
s29449706,SÖDERHAMN,1119.00,https://www.ikea.com/us/en/images/products/soederhamn-sectional-4-seat-with-chaise-and-open-end-fridtuna-light-beige__1057797_pe848981_s5.jpg?f=xxs,"Sectional, 4-seat with chaise",https://www.ikea.com/us/en/p/soederhamn-sectional-4-seat-with-chaise-and-open-end-fridtuna-light-beige-s29449706/,sofas-sectionals-fu003
s09499759,SÖDERHAMN,879.00,https://www.ikea.com/us/en/images/products/soederhamn-loveseat-with-chaise-with-armrest-hillared-dark-blue__0780914_pe760302_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/soederhamn-loveseat-with-chaise-with-armrest-hillared-dark-blue-s09499759/,sofas-sectionals-fu003
s39319224,FINNALA,2399.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-with-chaise-grann-bomstad-golden-brown__0817646_pe774070_s5.jpg?f=xxs,"Sectional, 4-seat",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-with-chaise-grann-bomstad-golden-brown-s39319224/,sofas-sectionals-fu003
